datetime,volume [m3],product_id,median shoreline elevation [m]
12/20/13,3114052.752,LC08_L1GT_125110_20131220_20180523_01_T2,84.69152069
12/27/13,1448525.294,LC08_L1GT_126110_20131227_20170427_01_T2,83.48646927
1/5/14,2216904.629,LC08_L1GT_125110_20140105_20170427_01_T2,84.10951233
1/10/14,13492144.78,LC08_L1GT_128109_20140110_20170426_01_T2,88.28449249
1/12/14,8928706.121,LC08_L1GT_126110_20140112_20170426_01_T2,87.08471298
1/26/14,751098.8097,LC08_L1GT_128109_20140126_20170426_01_T2,82.69940567
2/4/14,602723.2782,LC08_L1GT_127110_20140204_20170426_01_T2,82.46833038
12/28/14,1324552.335,LC08_L1GT_128110_20141228_20170415_01_T2,83.36759949
12/30/14,1716095.326,LC08_L1GT_126110_20141230_20170415_01_T2,83.72197723
1/6/15,8043861.568,LC08_L1GT_127110_20150106_20170415_01_T2,86.80783844
1/8/15,2716381.548,LC08_L1GT_125110_20150108_20170415_01_T2,84.44715118
1/13/15,497650.0825,LC08_L1GT_128110_20150113_20170414_01_T2,82.2651825
1/15/15,1113629.365,LC08_L1GT_126110_20150115_20170414_01_T2,83.1473465
1/29/15,1182246.904,LC08_L1GT_128110_20150129_20170413_01_T2,83.22164917
1/31/15,3201833.986,LC08_L1GT_126110_20150131_20170413_01_T2,84.7431488
12/26/15,983598.007,LC08_L1GT_125110_20151226_20180523_01_T2,82.99869537
1/2/16,804869.6168,LC08_L1GT_126110_20160102_20170404_01_T2,82.7735939
1/9/16,930932.7334,LC08_L1GT_127110_20160109_20170405_01_T2,82.93518829
1/27/16,1219870.46,LC08_L1GT_125110_20160127_20170330_01_T2,83.2612915
2/1/16,838486.9598,LC08_L1GT_128110_20160201_20170405_01_T2,82.81821823
12/28/16,3701887.36,LC08_L1GT_125110_20161228_20170314_01_T2,85.02312469
1/2/17,2825480.885,LC08_L1GT_128109_20170102_20170312_01_T2,84.51603699
1/4/17,1925386.753,LC08_L1GT_126110_20170104_20170312_01_T2,83.89123917
1/20/17,751098.8097,LC08_L1GT_126110_20170120_20170310_01_T2,82.69940567
1/27/17,602683.6683,LC08_L1GT_127110_20170127_20170214_01_T2,82.46826172
1/29/17,814773.4333,LC08_L1GT_125110_20170129_20170214_01_T2,82.78687286
2/3/17,747995.8747,LC08_L1GT_128110_20170203_20170215_01_T2,82.69500351
12/29/17,669271.0217,LC08_L1GT_127110_20171229_20180103_01_T2,82.57775879
12/31/17,786043.4509,LC08_L1GT_125110_20171231_20180103_01_T2,82.74803162
1/7/18,3493861.967,LC08_L1GT_126110_20180107_20180119_01_T2,84.90947723
1/14/18,14434234.28,LC08_L1GT_127110_20180114_20180120_01_T2,88.50013733
1/16/18,17981471.21,LC08_L1GT_125110_20180116_20180120_01_T2,89.25195313
1/21/18,3977291.735,LC08_L1GT_128110_20180121_20180206_01_T2,85.16782379
1/23/18,1711707.878,LC08_L1GT_126110_20180123_20180206_01_T2,83.71829987
12/23/18,568446.4467,LC08_L1GT_128110_20181223_20181227_01_T2,82.40703583
12/25/18,2216538.343,LC08_L1GT_126110_20181225_20190129_01_T2,84.10924911
12/30/18,4818547.02,LC08_L1GT_040134_20181230_20190130_01_T2,85.57332993
1/1/19,9435298.523,LC08_L1GT_127110_20190101_20190130_01_T2,87.23491669
1/8/19,857278.9688,LC08_L1GT_128110_20190108_20190130_01_T2,82.84263229
1/17/19,1272004.313,LC08_L1GT_127110_20190117_20190131_01_T2,83.31496429
1/19/19,1397956.787,LC08_L1GT_125110_20190119_20190201_01_T2,83.43884277
1/24/19,786467.0779,LC08_L1GT_128110_20190124_20190205_01_T2,82.74861145
2/2/19,469288.6457,LC08_L1GT_127110_20190202_20190206_01_T2,82.20026398
2/18/19,518520.3352,LC08_L1GT_127110_20190218_20190222_01_T2,82.30960083
2/20/19,814047.9381,LC08_L1GT_125110_20190220_20190222_01_T2,82.78590393
12/28/19,967697.4966,LC08_L1GT_126110_20191228_20200110_01_T2,82.97974014
1/4/20,977698.5119,LC08_L1GT_127110_20200104_20200113_01_T2,82.99168396
1/11/20,1789775.413,LC08_L1GT_128110_20200111_20200114_01_T2,83.78291321
1/13/20,983983.9023,LC08_L1GT_126110_20200113_20200127_01_T2,82.99915314
1/20/20,982350.8629,LC08_L1GT_127110_20200120_20200128_01_T2,82.99721527
1/22/20,1617759.828,LC08_L1GT_125110_20200122_20200128_01_T2,83.63822174
1/29/20,596245.7105,LC08_L1GT_126110_20200129_20200210_01_T2,82.45703888
