time,lon,lat,rlon,rlat,snowmelt [m3 w.e.]
1/1/11,72.56922037,-70.71803734,17.25,8.75,0
1/2/11,72.56922037,-70.71803734,17.25,8.75,855.9595727
1/3/11,72.56922037,-70.71803734,17.25,8.75,0
1/4/11,72.56922037,-70.71803734,17.25,8.75,1217354.298
1/5/11,72.56922037,-70.71803734,17.25,8.75,0
1/6/11,72.56922037,-70.71803734,17.25,8.75,0
1/7/11,72.56922037,-70.71803734,17.25,8.75,0
1/8/11,72.56922037,-70.71803734,17.25,8.75,0
1/9/11,72.56922037,-70.71803734,17.25,8.75,0
1/10/11,72.56922037,-70.71803734,17.25,8.75,5967.423087
1/11/11,72.56922037,-70.71803734,17.25,8.75,0
1/12/11,72.56922037,-70.71803734,17.25,8.75,0
1/13/11,72.56922037,-70.71803734,17.25,8.75,0
1/14/11,72.56922037,-70.71803734,17.25,8.75,0
1/15/11,72.56922037,-70.71803734,17.25,8.75,0
1/16/11,72.56922037,-70.71803734,17.25,8.75,1002527.101
1/17/11,72.56922037,-70.71803734,17.25,8.75,0
1/18/11,72.56922037,-70.71803734,17.25,8.75,0
1/19/11,72.56922037,-70.71803734,17.25,8.75,0
1/20/11,72.56922037,-70.71803734,17.25,8.75,0
1/21/11,72.56922037,-70.71803734,17.25,8.75,0
1/22/11,72.56922037,-70.71803734,17.25,8.75,0
1/23/11,72.56922037,-70.71803734,17.25,8.75,0
1/24/11,72.56922037,-70.71803734,17.25,8.75,0
1/25/11,72.56922037,-70.71803734,17.25,8.75,0
1/26/11,72.56922037,-70.71803734,17.25,8.75,0
1/27/11,72.56922037,-70.71803734,17.25,8.75,0
1/28/11,72.56922037,-70.71803734,17.25,8.75,0
1/29/11,72.56922037,-70.71803734,17.25,8.75,0
1/30/11,72.56922037,-70.71803734,17.25,8.75,0
1/31/11,72.56922037,-70.71803734,17.25,8.75,0
2/1/11,72.56922037,-70.71803734,17.25,8.75,0
2/2/11,72.56922037,-70.71803734,17.25,8.75,0
2/3/11,72.56922037,-70.71803734,17.25,8.75,0
